,description,go_BioProc,go_CellComp,go_MolFunc,proteinname,sysname
4162,"Phosphoglucomutase, catalyzes the conversion from glucose-1-phosphate to glucose-6-phosphate, which is a key step in hexose metabolism; functions as the acceptor for a Glc-phosphotransferase",carbohydrate metabolic process,cytoplasm,magnesium ion binding,PGM2,YMR105C
4163,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",biological_process unknown,mitochondrion,molecular_function unknown,FMP10,YER182W
4164,Putative protein of unknown function,biological_process unknown,cellular_component unknown,molecular_function unknown,YGL117W,YGL117W
4165,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; YCR025C is not an essential gene",biological_process unknown,cellular_component unknown,molecular_function unknown,YCR025C,YCR025C
4166,"Constituent of 66S pre-ribosomal particles, required for large (60S) ribosomal subunit biogenesis; involved in nuclear export of pre-ribosomes; required for maintenance of dsRNA virus; homolog of human CAATT-binding protein",ribosomal large subunit assembly,nucleus,molecular_function unknown,MAK21,YDR060W
4167,3'-->5' exonuclease and endonuclease with a possible role in apoptosis; has similarity to mammalian and C. elegans apoptotic nucleases,apoptotic DNA fragmentation,cytoplasm,nuclease activity,YBL055C,YBL055C
4168,"Positive regulator of allophanate inducible genes; binds a dodecanucleotide sequence upstream of all genes that are induced by allophanate; contains an UISALL DNA-binding, a transcriptional activation, and a coiled-coil domain",allantoin catabolic process,nucleus,"transcription factor activity, sequence-specific DNA binding",DAL82,YNL314W
4169,"Protein involved in positive regulation of both 1,3-beta-glucan synthesis and the Pkc1p-MAPK pathway, potential Cdc28p substrate; multicopy suppressor of temperature-sensitive mutations in CDC24 and CDC42, and of mutations in BEM4",establishment of cell polarity,cytoplasm,molecular_function unknown,MSB1,YOR188W
4170,"Chromatin associated high mobility group (HMG) family member involved in genome maintenance; rDNA-binding component of the Pol I transcription system; associates with a 5'-3' DNA helicase and Fpr1p, a prolyl isomerase",transcriptional start site selection at RNA polymerase II promoter,nuclear chromatin,four-way junction DNA binding,HMO1,YDR174W
4171,"Aspartyl-tRNA synthetase, primarily cytoplasmic; homodimeric enzyme that catalyzes the specific aspartylation of tRNA(Asp); class II aminoacyl tRNA synthetase; binding to its own mRNA may confer autoregulation",cytoplasmic translation,nucleus,nucleotide binding,DPS1,YLL018C
4172,"Inosine 5'-monophosphate (IMP)-specific 5'-nucleotidase, catalyzes the breakdown of IMP to inosine, does not show similarity to known 5'-nucleotidases from other organisms",inosine salvage,cellular_component unknown,magnesium ion binding,ISN1,YOR155C
4173,Putative protein of unknown function; non-essential gene with similarity to YBR242W; interacts with the DNA helicase Hpr5p,biological_process unknown,nucleus,molecular_function unknown,YGL101W,YGL101W
4174,"Subunit of cleavage factor I (CFI), involved in both the endonucleolyitc cleavage and polyadenylation steps of mRNA 3'-end maturation",mRNA polyadenylation,nucleus,nucleotide binding,CLP1,YOR250C
4175,"Protein of unknown function; null mutant is defective in respiration and interacts synthetically with prohibitin (phb1); the authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies",maturation of SSU-rRNA,mitochondrion,molecular_function unknown,GEP3,YOR205C
4176,Non-essential protein of unknown function; induced by treatment with 8-methoxypsoralen and UVA irradiation,biological_process unknown,cellular_component unknown,molecular_function unknown,ECM13,YBL043W
4177,"Subunit of TRAPPII, a multimeric GEF involved in intra-Golgi and endosome-to-Golgi transport; promotes association of TRAPPII-specific subunits with the core complex; sedlin related; human Sedlin mutations cause SEDT, a skeletal disorder",protein complex assembly,intracellular,molecular_function unknown,TCA17,YEL048C
4178,"Cytoplasmic protein required for replication of Brome mosaic virus in S. cerevisiae, which is a model system for studying replication of positive-strand RNA viruses in their natural hosts",biological_process unknown,intracellular,molecular_function unknown,OCA5,YHL029C
4179,"Regulatory subunit of acetolactate synthase, which catalyzes the first step of branched-chain amino acid biosynthesis; enhances activity of the Ilv2p catalytic subunit, localizes to mitochondria",metabolic process,mitochondrion,acetolactate synthase activity,ILV6,YCL009C
4180,"Member of the PUF protein family, which is defined by the presence of Pumilio homology domains that confer RNA binding activity; preferentially binds mRNAs encoding membrane-associated proteins","nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",cytoplasm,nucleotide binding,PUF2,YPR042C
4181,Protein involved in RNA splicing by the spliceosome; component of a complex containing Cef1p; interacts genetically with ISY1 and BUD13; may bind RNA; has similarity to S. pombe Cwf21p,"mRNA splicing, via spliceosome",nucleus,molecular_function unknown,CWC21,YDR482C
4182,"Core Sm protein Sm F; part of heteroheptameric complex (with Smb1p, Smd1p, Smd2p, Smd3p, Sme1p, and Smx2p) that is part of the spliceosomal U1, U2, U4, and U5 snRNPs; homolog of human Sm F",spliceosomal snRNP assembly,nucleus,molecular_function unknown,SMX3,YPR182W
4183,Component of a heterodimeric Poc4p-Irc25p chaperone involved in assembly of alpha subunits into the 20S proteasome; may regulate formation of proteasome isoforms with alternative subunits under different conditions,proteasome assembly,intracellular,molecular_function unknown,IRC25,YLR021W
4184,Protein involved in bud-site selection; diploid mutants display a random budding pattern instead of the wild-type bipolar pattern,ribosomal large subunit export from nucleus,intracellular,acyl binding,BUD20,YLR074C
4185,"Dihydrouridine synthase, member of a widespread family of conserved proteins including Smm1p, Dus1p, and Dus3p",tRNA dihydrouridine synthesis,cellular_component unknown,catalytic activity,DUS4,YLR405W
4186,"Protein of unknown function, copurifies with late Golgi vesicles containing the v-SNARE Tlg2p",biological_process unknown,Golgi membrane,molecular_function unknown,PTM1,YKL039W
4187,"Protein of unknown function that may interact with ribosomes, based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern",regulation of transcription from RNA polymerase II promoter,transcription factor TFIID complex,molecular_function unknown,YPR148C,YPR148C
4188,"Low affinity glucose transporter of the major facilitator superfamily, expression is induced in low or high glucose conditions",transport,plasma membrane,transporter activity,HXT3,YDR345C
4189,"Alpha-isopropylmalate synthase II (2-isopropylmalate synthase), catalyzes the first step in the leucine biosynthesis pathway; the minor isozyme, responsible for the residual alpha-IPMS activity detected in a leu4 null mutant",cellular amino acid biosynthetic process,mitochondrion,catalytic activity,LEU9,YOR108W
4190,"Component, with Afg3p, of the mitochondrial inner membrane m-AAA protease that mediates degradation of misfolded or unassembled proteins and is also required for correct assembly of mitochondrial enzyme complexes",protein complex assembly,cytoplasm,nucleotide binding,YTA12,YMR089C
4191,"Non-essential intracellular esterase that can function as an S-formylglutathione hydrolase; may be involved in the detoxification of formaldehyde, which can be metabolized to S-formylglutathione; similar to human esterase D",formaldehyde catabolic process,cytoplasm,hydrolase activity,YJL068C,YJL068C
4192,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm,biological_process unknown,cytoplasm,nucleotide binding,YGR210C,YGR210C
4193,"DNA-binding protein involved in either activation or repression of transcription, depending on binding site context; also binds telomere sequences and plays a role in telomeric position effect (silencing) and telomere structure",negative regulation of transcription from RNA polymerase II promoter,nuclear chromosome,"transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding",RAP1,YNL216W
4194,RNA polymerase III subunit C37,"transcription, DNA-templated",nucleus,RNA polymerase III activity,RPC37,YKR025W
4195,"Conserved NADPH oxidoreductase containing flavin mononucleotide (FMN), homologous to Oye3p with different ligand binding and catalytic properties; may be involved in sterol metabolism, oxidative stress response, and programmed cell death",apoptotic process,nucleus,catalytic activity,OYE2,YHR179W
4196,"Member of the cation diffusion facilitator family, localizes to the endoplasmic reticulum and nucleus; mutations affect the cellular distribution of zinc and also confer defects in meiotic recombination between homologous chromatids",transport,nucleus,zinc ion transmembrane transporter activity,MSC2,YDR205W
4197,"Component of the Sec23p-Sfb2p heterodimer of the COPII vesicle coat, required for cargo selection during vesicle formation in ER to Golgi transport; homologous to Sec24p and Sfb3p",transport,Golgi membrane,signal sequence binding,SFB2,YNL049C
4198,"Transcription factor; targets include ATP-binding cassette (ABC) transporters, major facilitator superfamily transporters, and other genes involved in the pleiotropic drug resistance (PDR) phenomenon","transcription, DNA-templated",nucleus,RNA polymerase II core promoter proximal region sequence-specific DNA binding,PDR8,YLR266C
4199,"Pheromone-regulated protein, proposed to be involved in mating; predicted to have 5 transmembrane segments; induced by treatment with 8-methoxypsoralen and UVA irradiation",biological_process unknown,endoplasmic reticulum,molecular_function unknown,PRM10,YJL108C
4200,Protein involved in rRNA and ribosome biogenesis; binds polymerase A and C motif; subunit of the RPD3L histone deacetylase complex; similar to Tod6p; has chromatin specific SANT domain; involved in telomeric gene silencing and filamentation,chromatin silencing at rDNA,"chromosome, telomeric region",DNA binding,DOT6,YER088C
4201,"Peroxisomal delta3,delta2-enoyl-CoA isomerase, hexameric protein that converts 3-hexenoyl-CoA to trans-2-hexenoyl-CoA, essential for the beta-oxidation of unsaturated fatty acids, oleate-induced",lipid metabolic process,peroxisome,catalytic activity,ECI1,YLR284C
4202,Translational elongation factor EF-3; paralog of YEF3 and member of the ABC superfamily; stimulates EF-1 alpha-dependent binding of aminoacyl-tRNA by the ribosome; normally expressed in zinc deficient cells,translation,cytosolic ribosome,nucleotide binding,HEF3,YNL014W
4203,"Subunit of tRNA-specific adenosine-34 deaminase, forms a heterodimer with Tad3p that converts adenosine to inosine at the wobble position of several tRNAs",tRNA modification,nucleus,catalytic activity,TAD2,YJL035C
4204,"Nim1p-related protein kinase that regulates the morphogenesis and septin checkpoints; associates with the assembled septin filament; required along with Hsl7p for bud neck recruitment, phosphorylation, and degradation of Swe1p",G2/M transition of mitotic cell cycle,cellular bud neck septin ring,nucleotide binding,HSL1,YKL101W
4205,Membrane protein that interacts with Yip1p to mediate membrane traffic; interacts with Sey1p to maintain ER morphology; overexpression leads to cell death and accumulation of internal cell membranes,endoplasmic reticulum organization,Golgi membrane,protein binding,YOP1,YPR028W
4206,Protein kinase primarily involved in telomere length regulation; contributes to cell cycle checkpoint control in response to DNA damage; functionally redundant with Mec1p; homolog of human ataxia telangiectasia (ATM) gene,DNA damage checkpoint,"chromosome, telomeric region",nucleotide binding,TEL1,YBL088C
4207,"Putative NADP(+) coupled glycerol dehydrogenase, proposed to be involved in an alternative pathway for glycerol catabolism; also has mRNA binding activity; member of the aldo-keto reductase (AKR) family",glycerol metabolic process,nucleus,mRNA binding,GCY1,YOR120W
4208,"Component of the commitment complex, which defines the first step in the splicing pathway; essential protein that interacts with Mud2p and Prp40p, forming a bridge between the intron ends; also involved in nuclear retention of pre-mRNA","mRNA splicing, via spliceosome",commitment complex,nucleic acid binding,MSL5,YLR116W
4209,"Allantoin permease; expression sensitive to nitrogen catabolite repression and induced by allophanate, an intermediate in allantoin degradation",allantoin catabolic process,fungal-type vacuole,transporter activity,DAL4,YIR028W
4210,"Subunit of the exocyst complex (Sec3p, Sec5p, Sec6p, Sec8p, Sec10p, Sec15p, Exo70p, Exo84p) which mediates targeting of post-Golgi vesicles to sites of active exocytosis; Sec3p specifically is a spatial landmark for secretion",exocyst assembly,incipient cellular bud site,"phosphatidylinositol-4,5-bisphosphate binding",SEC3,YER008C
4211,"Component of the meiotic outer plaque, a membrane-organizing center which is assembled on the cytoplasmic face of the spindle pole body during meiosis II and triggers the formation of the prospore membrane; potential Cdc28p substrate",cell cycle,spindle pole,structural molecule activity,MPC54,YOR177C
4212,"Fructose-2,6-bisphosphatase, required for glucose metabolism",fructose metabolic process,cytoplasm,nucleotide binding,FBP26,YJL155C
4213,Dual function protein involved in translation initiation as a substoichiometric component (eIF3j) of translation initiation factor 3 (eIF3) and required for processing of 20S pre-rRNA; binds to eIF3 subunits Rpg1p and Prt1p and 18S rRNA,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",cytoplasm,translation initiation factor activity,HCR1,YLR192C
4214,Acyl-coenzymeA:ethanol O-acyltransferase that plays a minor role in medium-chain fatty acid ethyl ester biosynthesis; possesses short-chain esterase activity; localizes to lipid particles and the mitochondrial outer membrane,cellular lipid metabolic process,mitochondrion,alcohol O-acetyltransferase activity,EHT1,YBR177C
4215,Putative aryl-alcohol dehydrogenase; similar to P. chrysosporium aryl-alcohol dehydrogenase; mutational analysis has not yet revealed a physiological role,cellular aldehyde metabolic process,cellular_component unknown,oxidoreductase activity,AAD10,YJR155W
4216,"Cytosolic J-domain-containing protein, required for peroxisomal protein import and involved in peroxisome assembly, homologous to E. coli DnaJ",protein import into peroxisome matrix,cytoplasm,chaperone binding,DJP1,YIR004W
4217,Acetyltransferase required for establishment of sister chromatid cohesion; modifies Smc3p at replication forks and Mcd1p in response to ds DNA breaks; has a C2H2-type zinc finger; mutations in human homolog ESCO2 cause Roberts syndrome,DNA replication,nuclear chromatin,chromatin binding,ECO1,YFR027W
4218,Shuttling pre-60S factor; involved in the biogenesis of ribosomal large subunit; interacts directly with Arx1p; responsible for Tif6p recycling defects in absence of Rei1p,transport,nucleus,molecular_function unknown,ALB1,YJL122W
4219,"Ribosomal protein L30 of the large (60S) ribosomal subunit, nearly identical to Rpl24Ap and has similarity to rat L24 ribosomal protein; not essential for translation but may be required for normal translation rate",ribosomal large subunit assembly,cytoplasm,RNA binding,RPL24B,YGR148C
4220,Putative protein of unknown function; YLR152C is not an essential gene,transport,membrane,molecular_function unknown,YLR152C,YLR152C
4221,Palmitoyltransferase with autoacylation activity; likely functions in pathway(s) outside Ras; member of a family of putative palmitoyltransferases containing an Asp-His-His-Cys-cysteine rich (DHHC-CRD) domain,protein palmitoylation,plasma membrane,zinc ion binding,PFA5,YDR459C
4222,"E2-like enzyme involved in autophagy and the cytoplasm-to-vacuole targeting (Cvt) pathway; plays a role in formation of Atg8p-phosphatidylethanolamine conjugates, which are involved in membrane dynamics during autophagy and Cvt",autophagosome assembly,cytoplasmic ubiquitin ligase complex,Atg8 ligase activity,ATG3,YNR007C
4223,"Protein involved in shmoo formation and bipolar bud site selection; homologous to Spa2p, localizes to sites of polarized growth in a cell cycle dependent- and Spa2p-dependent manner, interacts with MAPKKs Mkk1p, Mkk2p, and Ste7p",conjugation,incipient cellular bud site,molecular_function unknown,SPH1,YLR313C
4224,"Calcineurin B; the regulatory subunit of calcineurin, a Ca++/calmodulin-regulated type 2B protein phosphatase which regulates Crz1p (a stress-response transcription factor), the other calcineurin subunit is encoded by CNA1 and/or CMP1",adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion,calcineurin complex,calcium-dependent protein serine/threonine phosphatase activity,CNB1,YKL190W
4225,"Endo-polygalacturonase, pectolytic enzyme that hydrolyzes the alpha-1,4-glycosidic bonds in the rhamnogalacturonan chains in pectins",carbohydrate metabolic process,extracellular region,polygalacturonase activity,PGU1,YJR153W
4226,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the Golgi,biological_process unknown,Golgi apparatus,molecular_function unknown,YKL063C,YKL063C
4227,"Transcriptional activator necessary for gamma-aminobutyrate (GABA)-dependent induction of GABA genes (such as UGA1, UGA2, UGA4); zinc-finger transcription factor of the Zn(2)-Cys(6) binuclear cluster domain type; localized to the nucleus",nitrogen catabolite activation of transcription from RNA polymerase II promoter,nucleus,RNA polymerase II core promoter proximal region sequence-specific DNA binding,UGA3,YDL170W
4228,Late endosomal protein involved in late endosome to vacuole trafficking; functional homolog of human obesity receptor gene-related protein (OB-RGRP),transport,endosome,molecular_function unknown,VPS55,YJR044C
4229,"Ribonuclease H2 catalytic subunit, removes RNA primers during Okazaki fragment synthesis and errant ribonucleotides misincorporated during DNA replication; homolog of RNAse HI; related to human AGS4 which causes Aicardi-Goutieres syndrome",mismatch repair,nucleus,nucleic acid binding,RNH201,YNL072W
4230,Acireductone dioxygenease involved in the methionine salvage pathway; ortholog of human MTCBP-1; transcribed with YMR010W and regulated post-transcriptionally by RNase III (Rnt1p) cleavage; ADI1 mRNA is induced in heat shock conditions,cellular amino acid biosynthetic process,nucleus,acireductone dioxygenase (Ni2+-requiring) activity,ADI1,YMR009W
4231,"Putative hexose transporter that is nearly identical to Hxt11p, has similarity to major facilitator superfamily (MFS) transporters, expression of HXT9 is regulated by transcription factors Pdr1p and Pdr3p",transport,fungal-type vacuole,transporter activity,HXT9,YJL219W
4232,Transcriptional activator of genes involved in nitrogen catabolite repression; contains a GATA-1-type zinc finger DNA-binding motif; activity and localization regulated by nitrogen limitation and Ure2p,nitrogen catabolite activation of transcription from RNA polymerase II promoter,nucleus,RNA polymerase II regulatory region sequence-specific DNA binding,GAT1,YFL021W
4233,Putative protein of unknown function; GFP-fusion protein expression is induced in response to the DNA-damaging agent MMS,biological_process unknown,cellular_component unknown,molecular_function unknown,YJR011C,YJR011C
4234,"2'-O-ribosyl phosphate transferase, modifies the initiator methionine tRNA at position 64 to distinguish it from elongator methionine tRNA",tRNA processing,cytoplasm,transferase activity,RIT1,YMR283C
4235,Putative protein of unknown function,biological_process unknown,plasma membrane,molecular_function unknown,YDR090C,YDR090C
4236,Putative metalloprotease,proteolysis,cytoplasm,molecular_function unknown,YIL108W,YIL108W
4237,Putative protein of unknown function; YMR187C is not an essential gene,biological_process unknown,membrane,molecular_function unknown,YMR187C,YMR187C
4238,Protein involved in regulating the endocytosis of plasma membrane proteins by recruiting the ubiquitin ligase Rsp5p to its target; localization changes in response to nutrient levels; null mutant has reduced affinity for alcian blue dye,positive regulation of receptor internalization,cytoplasm,ubiquitin protein ligase binding,LDB19,YOR322C
4239,Cysteine aminopeptidase with homocysteine-thiolactonase activity; protects cells against homocysteine toxicity; has bleomycin hydrolase activity in vitro; transcription is regulated by galactose via Gal4p; orthologous to human BLMH,negative regulation of transcription from RNA polymerase II promoter,cytoplasm,RNA polymerase II core promoter proximal region sequence-specific DNA binding,LAP3,YNL239W
4240,"Farnesyl cysteine-carboxyl methyltransferase, mediates the carboxyl methylation step during C-terminal CAAX motif processing of a-factor and RAS proteins in the endoplasmic reticulum, localizes to the ER membrane",C-terminal protein methylation,nuclear inner membrane,protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity,STE14,YDR410C
4241,"Post-transcriptional gene regulator, flap-structured DNA-binding and RNA-binding protein; shows genetic interactions with Vti1p, a v-SNARE involved in cis-Golgi membrane traffic; stimulates Dna2p endonuclease activity; contains a SAM domain",nuclear-transcribed mRNA poly(A) tail shortening,P-body,nucleotide binding,VTS1,YOR359W
4242,"Protein of unknown function; heterooligomeric or homooligomeric complex; peripherally associated with membranes; homologous to human COH1; involved in sporulation, vacuolar protein sorting and protein-Golgi retention",protein targeting to vacuole,prospore membrane,molecular_function unknown,VPS13,YLL040C
4243,Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation,negative regulation of transcription from RNA polymerase II promoter,nucleus,RNA polymerase II core promoter proximal region sequence-specific DNA binding,MED8,YBR193C
4244,"Lsm (Like Sm) protein; part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p): cytoplasmic Lsm1p complex involved in mRNA decay; nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA, snoRNA, and rRNA","mRNA splicing, via spliceosome",nucleus,RNA binding,LSM7,YNL147W
4245,"Alpha 1,3 glucosyltransferase, involved in transfer of oligosaccharides from dolichyl pyrophosphate to asparagine residues of proteins during N-linked protein glycosylation; mutations in human ortholog are associated with disease",protein glycosylation,endoplasmic reticulum,transferase activity,ALG6,YOR002W
4246,"t-SNARE required for retrograde vesicular traffic and homotypic ER membrane fusion; forms a complex with the SNAREs Sec22p, Sec20p and Use1p to mediate fusion of Golgi-derived vesicles at the ER",transport,endoplasmic reticulum,SNAP receptor activity,UFE1,YOR075W
4247,"N-terminally acetylated protein component of the large (60S) ribosomal subunit, nearly identical to Rpl14Bp and has similarity to rat L14 ribosomal protein; rpl14a csh5 double null mutant exhibits synthetic slow growth",cytoplasmic translation,intracellular,RNA binding,RPL14A,YKL006W
4248,"Peripheral membrane protein required for vesicle formation during autophagy, pexophagy, and the cytoplasm-to-vaucole targeting (Cvt) pathway; involved in Atg9p cycling between the phagophore assembly site and mitochondria",autophagosome assembly,pre-autophagosomal structure,molecular_function unknown,ATG2,YNL242W
4249,Protein that forms heterodimers with Msh3p and Msh6p that bind to DNA mismatches to initiate the mismatch repair process; contains a Walker ATP-binding motif required for repair activity; Msh2p-Msh6p binds to and hydrolyzes ATP,meiotic mismatch repair,nuclear chromosome,nucleotide binding,MSH2,YOL090W
4250,Putative protein of unknown function with similarity to F-box proteins; interacts with Skp1p and Cdc53p; YLR352W is not an essential gene,biological_process unknown,SCF ubiquitin ligase complex,molecular_function unknown,YLR352W,YLR352W
4251,Putative protein of unknown function,proteolysis,cellular_component unknown,molecular_function unknown,YFR018C,YFR018C
4252,RNA polymerase II subunit B16; forms two subunit dissociable complex with Rpb4p; involved in recruitment of 3'-end processing factors to transcribing RNA polymerase II complex and in export of mRNA to cytoplasm under stress conditions; also involved in translation initiation,"nuclear-transcribed mRNA catabolic process, exonucleolytic",P-body,nucleic acid binding,RPB7,YDR404C
4253,"Mating pheromone a-factor, made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1",pheromone-dependent signal transduction involved in conjugation with cellular fusion,extracellular region,mating pheromone activity,MFA2,YNL145W
4254,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum; YNR021W is not an essential gene,biological_process unknown,endoplasmic reticulum,molecular_function unknown,YNR021W,YNR021W
4255,Putative tubulin tyrosine ligase associated with P-bodies,nuclear-transcribed mRNA catabolic process,P-body,molecular_function unknown,PBY1,YBR094W
4256,"Protein involved in transcription; interacts with RNA polymerase II subunits Rpb2p, Rpb3, and Rpb11p; has similarity to human RPAP1","transcription, DNA-templated",nucleus,molecular_function unknown,RBA50,YDR527W
4257,Putative protein of unknown function; involved in maintenance of proper telomere length; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus,biological_process unknown,"chromosome, telomeric region",molecular_function unknown,MTE1,YGR042W
4258,"Rab family GTPase, similar to Ypt51p and Ypt52p and to mammalian rab5; required for vacuolar protein sorting and endocytosis",protein targeting to vacuole,late endosome,nucleotide binding,YPT53,YNL093W
4259,Helicase-like protein encoded within the telomeric Y' element,biological_process unknown,mitochondrion,nucleotide binding,YBL111C,YBL111C
4260,"Cyclin, interacts with cyclin-dependent kinase Pho85p; regulates the response to nutrient levels and environmental conditions, including the response to phosphate limitation and stress-dependent calcium signaling",regulation of cyclin-dependent protein serine/threonine kinase activity,cyclin-dependent protein kinase holoenzyme complex,cyclin-dependent protein serine/threonine kinase regulator activity,PHO80,YOL001W
4261,Putative metal transporter involved in mitochondrial iron accumulation; closely related to Mmt1p,transport,mitochondrion,molecular_function unknown,MMT2,YPL224C
4262,Protein lysine methyltransferase; monomethylates Lys-46 of the ribosomal large subunit Rpl1a/Rpl1b; member of the seven beta-strand methyltransferase superfamily; orthologs only found among fungal species,protein methylation,cellular_component unknown,methyltransferase activity,RKM5,YLR137W
4263,"Conserved NAD+ dependent histone deacetylase of the Sirtuin family involved in regulation of lifespan; plays roles in silencing at HML, HMR, telomeres, and the rDNA locus; negatively regulates initiation of DNA replication",chromatin silencing at rDNA,nuclear telomere cap complex,zinc ion binding,SIR2,YDL042C
4264,Protein that forms a nuclear complex with Noc2p that binds to 66S ribosomal precursors to mediate their intranuclear transport; also binds to chromatin to promote the association of DNA replication factors and replication initiation,DNA replication,nucleus,chromatin binding,NOC3,YLR002C
4265,"6-phosphofructo-2-kinase, catalyzes synthesis of fructose-2,6-bisphosphate; inhibited by phosphoenolpyruvate and sn-glycerol 3-phosphate, expression induced by glucose and sucrose, transcriptional regulation involves protein kinase A",fructose metabolic process,cytoplasm,nucleotide binding,PFK27,YOL136C
4266,High affinity iron permease involved in the transport of iron across the plasma membrane; forms complex with Fet3p; expression is regulated by iron,transport,plasma membrane,iron ion transmembrane transporter activity,FTR1,YER145C
4267,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the ER,biological_process unknown,endoplasmic reticulum,molecular_function unknown,YBR096W,YBR096W
4268,"Pantothenate kinase (ATP:D-pantothenate 4'-phosphotransferase, EC 2.7.1.33); catalyzes the first committed step in the universal biosynthetic pathway for synthesis of coenzyme A (CoA); transcriptionally regulated by Upc2p via a sterol response element",coenzyme A biosynthetic process,nucleus,nucleotide binding,CAB1,YDR531W
4269,"Karyopherin beta, mediates nuclear import of ribosomal proteins prior to assembly into ribosomes and import of histones H3 and H4; localizes to the nuclear pore, nucleus, and cytoplasm; exhibits genetic interactions with RAI1","protein import into nucleus, translocation",nucleus,nuclear localization sequence binding,KAP123,YER110C
4270,"sn-1,2-diacylglycerol ethanolamine- and cholinephosphotranferase; not essential for viability",lipid metabolic process,Golgi membrane,catalytic activity,EPT1,YHR123W
4271,"ATP-dependent DNA translocase involved in chromatin remodeling; ATPase component that, with Itc1p, forms a complex required for repression of a-specific genes, INO1, and early meiotic genes during mitotic growth",chromatin silencing at rDNA,"chromosome, telomeric region",nucleotide binding,ISW2,YOR304W
4272,"Xanthine-guanine phosphoribosyl transferase, required for xanthine utilization and for optimal utilization of guanine",purine nucleotide biosynthetic process,cytoplasm,magnesium ion binding,XPT1,YJR133W
4273,"Putative protein of unknown function that is required for growth on ethanol; contains a zinc finger region and has homology to human BRAP2, which is a cytoplasmic protein that binds nuclear localization sequences",protein ubiquitination,ubiquitin ligase complex,ubiquitin-protein transferase activity,ETP1,YHL010C
4274,Protein required for survival at high temperature during stationary phase; not required for growth on nonfermentable carbon sources,proteasome assembly,cellular_component unknown,proteasome binding,SPG5,YMR191W
4275,Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleus; YLR108C is not an esssential gene,biological_process unknown,nucleus,molecular_function unknown,YLR108C,YLR108C
4276,"Component of the RSC chromatin remodeling complex; found in close proximity to nucleosomal DNA; displaced from the surface of nucleosomal DNA after chromatin remodeling; acetylated (K25) by Gcn5p, altering replication stress tolerance; contains tandem bromodomains that recognize histone H3 acetylated on K14 (H3K14ac) by Gcn5p",G2/M transition of mitotic cell cycle,nucleus,DNA translocase activity,RSC4,YKR008W
4277,"Adenylate kinase, required for purine metabolism; localized to the cytoplasm and the mitochondria; lacks cleavable signal sequence",nucleobase-containing compound metabolic process,cytoplasm,nucleotide binding,ADK1,YDR226W
4278,"Putative SCF-ubiquitin ligase F-box protein, based on both genetic and physical interactions and sequence similarity; identified in association with Cdc53p, Skp1p and Ubi4 in large and small-scale studies",protein ubiquitination,SCF ubiquitin ligase complex,ubiquitin-protein transferase activity,HRT3,YLR097C
4279,"Subunit of TRAPPIII (transport protein particle), a multimeric guanine nucleotide-exchange factor for Ypt1p, required for membrane expansion during autophagy and the CVT pathway; directs Ypt1p to the PAS; late post-replication meiotic role",autophagosome assembly,pre-autophagosomal structure,molecular_function unknown,TRS85,YDR108W
4280,"B-type cyclin involved in cell cycle progression; activates Cdc28p to promote the G2/M transition; may be involved in DNA replication and spindle assembly; accumulates during S phase and G2, then targeted for ubiquitin-mediated degradation",regulation of cyclin-dependent protein serine/threonine kinase activity,nucleus,cyclin-dependent protein serine/threonine kinase regulator activity,CLB3,YDL155W
4281,"Phosphatidylinositol/phosphatidylcholine transfer protein; involved in regulating PtdIns, PtdCho, and ceramide metabolism, products of which regulate intracellular transport and UPR; functionally homologous to mammalian PITPs",transport,Golgi membrane,transporter activity,SEC14,YMR079W
4282,Putative protein of unknown function; detected in highly purified mitochondria in high-throughput studies; proposed to be involved in resistance to mechlorethamine and streptozotocin; null mutant sensitive to expression of top1-T722A allele,metabolic process,mitochondrion,nucleotide binding,TDA5,YLR426W
4283,"Protein of unknown function, mutant sensitive to 6-azauracil (6AU) and mycophenolic acid (MPA)",biological_process unknown,cellular_component unknown,molecular_function unknown,DLT1,YMR126C
